id,lotnum_1,old_div,str_addr,street
187,677,강일동,트리피움오피스텔,아리수로91길 
227,413,길동,(413-24),천호대로177길 
444,413,길동,아스테르 오피스텔,진황도로43길 
1137,551,천호동,다온오피스텔,구천면로28길 
1283,167,천호동,루체167,진황도로27길 
1347,163,천호동,성우스타팰리스,진황도로31길
1412,167,천호동,아이빌리지,진황도로31길
2586,441,암사동,,고덕로
5095,48,명일동,881,고덕로62길 
10135,0,거여동,휴먼빌 시티,위례송파로3길 
12255,618,문정동,파크하비오,송파대로 
13327,43,방이동,대명벨리온,오금로11길 
13560,28,방이동,엘루이시티,올림픽로30길 
14256,47,방이동,잠실헤리츠,위례성대로2길 
14489,24,석촌동,석촌호수 나인파크 A,송파대로49길 
14506,24,석촌동,석촌호수 나인파크 B,송파대로49길 
14642,336,잠실동,(336-16),백제고분로20길 
25328,624,문정동,55,법원로 
25903,620,문정동,62,새말로 
26385,643,문정동,114,송파대로 
27699,652,문정동,17,법원로4길 
27937,51,방이동,505,백제고분로 
37957,65,삼성동,한국건설기술인회관(별관),삼성로 
38270,590,세곡동,라온프라이빗시티 강남,헌릉로569길 
38292,584,세곡동,센트라빌,헌릉로571길 
38364,588,신사동,현대썬앤빌,도산대로 
38605,825,역삼동,강남역 센트럴 푸르지오 시티,테헤란로4길 
38982,603,역삼동,더스위트캐슬,봉은사로 
39374,0,율현동,훼미리타운,밤고개로 
42478,678,역삼동,해든 빌딩,테헤란로33길 
42486,0,율현동,강남블루지움,밤고개로 
42514,0,율현동,강남센터뷰,밤고개로 
45899,6,논현동,158,도산대로 
54506,0,내곡동,서초 케이타운 오피스텔,헌릉로
55096,1589,서초동,서초 리슈빌,반포대로12길 
55126,1487,서초동,서초 웰하우스,명달로 
55759,1303,서초동,현대썬앤빌 강남 더 인피닛,사평대로58길 
55842,1337,서초동,현대썬앤빌 서초,효령로79길 
55891,0,신원동,서초포레지움,청계산로 
55913,0,신원동,심플리시티,청계산로 
55935,0,신원동,자연누리 오피스텔,청계산로 
55938,0,신원동,프라임시티,청계산로 
55940,0,신원동,해피트리앤,청계산로 
56045,755,우면동,서초 디벨리움 오피스텔,양재대로2길 
56071,787,우면동,서초리슈빌S글로벌,양재대로2길 
57017,1487,서초동,서초예성빌,명달로 
57853,759,우면동,주건축물제1동,중앙로 
60241,1337,서초동,34,사임당로 
60747,76,잠원동,316,반포대로 
64353,912,봉천동,KS타워,양녕로 
65641,1462,신림동,(1462-9),신림동9길 
65847,529,신림동,만경빌딩,난곡로 
72520,1638,신림동,35,신원로 
81993,394,대방동,리안,상도로 
82021,394,대방동,원노블레스,대방동1길 
82026,394,대방동,제이타운,대방동1길 
84574,121,당산동,가온빌,버드나루로 
84643,121,당산동,리버뷰,버드나루로 
84662,121,당산동,리오팰리스,버드나루로 
84725,121,당산동,조인클로버,버드나루로 
84735,121,당산동,하임-3,버드나루로 
84807,144,당산동1가,블리스다임빌,영등포로27길 
84819,186,당산동1가,파비엥,영신로43길 
84826,256,당산동1가,퍼스트빌리지,당산로12길 
85002,395,당산동3가,밀레니엄,당산로31길 
85079,32,당산동4가,해울에비뉴,당산로38길 
85160,9,당산동5가,당산역해링턴타워,당산로
85272,237,당산동6가,(237-13),당산로46가길 
85276,216,당산동6가,강변리치빌Ⅱ,당산로50길 
85460,187,도림동,(187-2),도림로 
85704,229,도림동,현대팰리스,도신로15길 
86505,159,신길동,조인,도신로53길 
86929,1,양평동2가,힘멜하임,선유서로 
86974,30,양평동3가,(30-14),양산로1길 
87048,49,양평동3가,아테네,선유로33길 
87171,56,양평동3가,양평동갤럭시오피스텔,선유서로34길
87254,33,양평동3가,파라다이스 뷰(PARADISE VIEW),선유서로31길
87315,139,양평동4가,J.캐슬,선유로51길
87346,238,양평동4가,선유도한강오피스텔,선유로53길
87356,32,양평동4가,아트리버타운,선유로
87449,87,양평동5가,청풍 스카이파크,양평로22다길
87452,22,양평동5가,큐브스테이트,양평로23길
87476,94,양평동5가,한강프리젠,양평로24길
87693,17,여의도동,더하우스 소호 여의도 오피스텔,의사당대로
87928,30,영등포동1가,-30,경인로112길
87949,79,영등포동1가,SJ팰리스,경인로112길 
88114,79,영등포동1가,여의도 명남 더블레스,경인로112길 
88411,22,영등포동1가,페트라,경인로114길
88544,29,영등포동2가,경문빌딩,국회대로54길
88574,321,영등포동2가,더리버캐슬,영중로14길 
88608,94,영등포동2가,명화오피스텔,국회대로56길
88945,28,영등포동2가,청람,국회대로56길
88947,94,영등포동2가,청풍 스카이,국회대로56길
88965,28,영등포동2가,크렌시아하우스,국회대로56길
89273,117,영등포동4가,디타워,영신로32길 
89576,94,영등포동7가,골든힐,국회대로56길 
90041,48,영등포동8가,더로드2,영중로38길 
90148,47,영등포동8가,프로방스,국회대로53길
90619,236,당산동1가,세인트 빌,영등포로27길 
90962,32,당산동4가,블리스다임빌,당산로38길 
90968,32,당산동4가,아름채,당산로38길 
91234,237,당산동6가,한스파크빌,당산로46가길 
91635,195,도림동,호암아크빌,도영로 
94877,42,영등포동6가,에이클래스,영신로44길 
94922,80,영등포동7가,골든빌,국회대로50길 
98614,306,영등포동2가,102동,영등포로51길
100518,237,당산동6가,JF명오빌,당산로46가길 
100947,236,도림동,예성클래식,도림로113가길 
101115,23,문래동5가,15,선유서로9길
120250,547,가산동,몽삐에뜨,서부샛길 
120476,775,가산동,한국후지필름 복합주거시설,가산디지털1로 
121064,1003,독산동,블라썸시티,벚꽃로 
121190,332,독산동,한강빌딩,범안로11길 
121200,332,독산동,해송빌딩,범안로11길 
121229,828,시흥동,(828-4),금하로23가길 
125429,139,가산동,182,디지털로11길
125679,1031,독산동,33,시흥대로
129498,98,구로동,마인드에코프라움,구로중앙로18길 
130568,830,구로동,한영캐슬시티,디지털로26길 
130579,642,구로동,해오름,구일로8길 
131460,0,천왕동,네이처힐,오리로
131480,0,천왕동,쿠앤하우스,천왕로
134115,0,오류동,새롬스타빌,오류로
137600,650,구로동,27,구일로10길
138823,98,구로동,17,구로중앙로
152718,506,등촌동,거산파크빌,등촌로57길
152725,719,등촌동,경남파크빌,등촌로 
153146,721,등촌동,동양하우징,등촌로
153455,633,등촌동,등촌투웨니퍼스트3차,양천로66길 
153740,641,등촌동,퀸즈오피스텔,화곡로64길
153843,656,등촌동,한빛어반뉴스토리,공항대로45길
153955,793,마곡동,갤럭시인텔리젼스,강서로 
154424,784,마곡동,마곡경동미르웰,강서로 
154549,760,마곡동,마곡나루역보타닉푸르지오시티,마곡중앙5로 
