시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,,
서울특별시 강남구 개포동,157-9,157,9,,(157-9),,전세,29.25,201408,26,13000,0,2,2011,선릉로4길 19
서울특별시 강남구 개포동,1246-3,1246,3,골든빌오피스텔(1246-3),월세,18.8,201407,5,1000,45,3,2003,개포로 213,,
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,34.39,201401,6,11000,0,7,1997,개포로 623,,
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,31.91,201402,18,11000,0,16,1997,개포로 623,,
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201403,18,11000,0,13,1997,개포로 623,,
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201404,5,11500,0,9,1997,개포로 623,,
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201405,9,1000,60,12,1997,개포로 623,,
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,31.91,201406,20,11000,0,22,1997,개포로 623,,
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201407,29,5000,40,26,1997,개포로 623,,
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201406,5,3000,30,4,2005,논현로18길 10-10,,
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201406,23,4000,25,5,2005,논현로18길 10-10,,
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,24.67,201409,22,3000,40,5,2005,논현로18길 10-10,,
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,38.75,201402,14,22000,0,12,2005,학동로 342,,
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,79.22,201409,20,25000,0,15,2005,학동로 342,,
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,79.22,201410,15,38000,0,11,2005,학동로 342,,
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,85.76,201408,25,10000,200,10,2007,학동로 338,,
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,75.94,201410,17,5000,200,9,2007,학동로 338,,
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,40.35,201403,8,1000,100,6,2003,논현로 641,,
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,40.55,201404,24,18000,0,3,2003,논현로 641,,
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,28.83,201404,28,1000,70,7,2003,논현로 641,,
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,45.26,201405,2,5000,60,6,2003,논현로 641,,
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,39.06,201410,8,1000,95,5,2003,논현로 641,,
서울특별시 강남구 논현동,249-6,249,6,논현로얄팰리스,월세,209.43,201404,2,20000,430,6,2005,언주로 626,,
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,25.32,201404,25,8500,0,7,2000,선릉로129길 3-6,,
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,27.54,201405,26,13000,0,6,2000,선릉로129길 3-6,,
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,월세,24.84,201406,12,7000,50,8,2000,선릉로129길 3-6,,
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201407,5,10000,0,5,2000,선릉로129길 3-6,,
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,월세,24.84,201409,24,5000,40,6,2000,선릉로129길 3-6,,
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201408,11,16000,0,5,2005,학동로 224,,
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,33.54,201405,8,1000,85,8,2003,도산대로 158,,
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201409,19,5000,50,5,2003,도산대로 158,,
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,33.54,201409,26,1000,105,14,2003,도산대로 158,,
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,월세,26.91,201411,24,1000,75,15,2003,도산대로 158,,
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,40.56,201412,13,19000,0,6,2003,도산대로 158,,
