시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 개포동,1246-3,1246,3,골든빌오피스텔(1246-3),월세,19.08,201501,5,200,75,2,2003,개포로 213
서울특별시 강남구 개포동,1246-3,1246,3,골든빌오피스텔(1246-3),월세,18.8,201502,2,200,75,2,2003,개포로 213
서울특별시 강남구 개포동,1246-3,1246,3,골든빌오피스텔(1246-3),월세,23.76,201508,20,100,80,4,2003,개포로 213
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201501,3,1000,60,18,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,41.47,201504,4,14000,0,20,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201504,24,12000,0,6,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,33.5,201508,10,12000,0,19,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201508,27,1000,65,7,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201511,24,2000,50,7,1997,개포로 623
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201501,17,3000,30,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201504,17,2000,55,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,25.72,201506,9,500,60,2,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,25.72,201508,24,1000,60,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,24.67,201511,5,2000,50,3,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201512,9,2000,45,3,2005,논현로18길 10-10
서울특별시 강남구 논현동,242-27,242,27,	(242-27)	,월세,21.12,201501,27,4000,65,7,2003,선릉로129길 3-4
서울특별시 강남구 논현동,96,96,0,	(96)	,월세,22.05,201503,2,2000,50,6,1987,도산대로46길 11
서울특별시 강남구 논현동,96,96,0,	(96)	,월세,22.05,201503,24,500,60,7,1987,도산대로46길 11
서울특별시 강남구 논현동,96,96,0,	(96)	,월세,22.05,201509,5,500,60,8,1987,도산대로46길 11
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,월세,34.57,201501,4,12000,40,5,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,38.75,201509,15,27000,0,8,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,34.57,201510,9,26000,0,8,2005,학동로 342
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,전세,75.94,201502,3,50000,0,16,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,75.94,201511,23,30000,120,5,2007,학동로 338
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,40.55,201501,13,20000,0,4,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,37.12,201501,20,1000,90,4,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,40.35,201502,12,18000,0,3,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,40.55,201504,17,20000,0,3,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,45.26,201505,20,5000,60,6,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,전세,37.12,201508,5,17000,0,3,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,28.83,201509,1,1000,70,7,2003,논현로 641
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,45.26,201512,16,1000,105,6,2003,논현로 641
서울특별시 강남구 논현동,249-6,249,6,논현로얄팰리스,월세,209.43,201504,24,20000,500,7,2005,언주로 626
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201501,6,11100,0,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,24.84,201504,10,11000,0,6,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,27.54,201505,5,13000,0,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,월세,25.32,201506,10,8000,30,8,2000,선릉로129길 3-6
서울특별시 강남구 논현동,242-21,242,21,삼아프라자,전세,30.08,201511,21,12000,0,5,2000,선릉로129길 3-6
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201508,17,17000,0,5,2005,학동로 224
서울특별시 강남구 논현동,209,209,0,삼환 아르누보 3,전세,22.09,201512,22,22500,0,5,2005,학동로 224
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,33.54,201501,15,20000,0,14,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,33.54,201501,31,20000,0,10,2003,도산대로 158
서울특별시 강남구 논현동,6-21,6,21,세양 APEX-TOWER,전세,40.56,201502,13,17000,0,4,2003,도산대로 158
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201503,4,42500,0,3,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201503,9,40000,0,11,2006,봉은사로 307
서울특별시 강남구 논현동,277-36,277,36,이안 논현,전세,87.89,201506,19,45000,0,15,2006,봉은사로 307
서울특별시 강남구 논현동,192-15,192,15,휴먼스페이스주상복합,월세,37.71,201502,24,13000,40,5,2003,논현로111길 3
서울특별시 강남구 대치동,945-29,945,29,CO-OP Residence/삼성역,월세,13.96,201503,6,5000,20,10,2004,테헤란로92길 13
서울특별시 강남구 대치동,622-1,622,1,대치 클래시아,월세,20.8,201512,29,1000,110,12,2015,남부순환로 2927
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,35.72,201503,23,7000,50,6,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,34.2,201504,23,4000,65,3,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,전세,33.06,201505,12,17000,0,3,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,35.72,201507,8,7000,50,6,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,35.72,201509,16,1000,90,3,2004,선릉로90길 56
서울특별시 강남구 대치동,891-23,891,23,대치동 대우아이빌 명문가,월세,52.84,201509,21,2000,140,4,2004,선릉로90길 56
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,31.58,201501,9,500,75,3,2003,삼성로85길 42
서울특별시 강남구 대치동,891-26,891,26,대치동대우아이빌멤버스,월세,29.56,201509,12,5000,40,2,2003,삼성로85길 42
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,29.97,201503,13,500,80,10,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,29.97,201506,8,2000,68,13,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,29.97,201506,13,1000,75,15,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,32.7,201507,16,3000,70,4,2004,테헤란로64길 14
서울특별시 강남구 대치동,889-56,889,56,더 나인 오피스텔,월세,29.97,201511,9,2000,68,13,2004,테헤란로64길 14
서울특별시 강남구 대치동,938-11,938,11,동민 맥스빌,월세,40.29,201501,12,1000,110,1,2004,선릉로62길 38
서울특별시 강남구 대치동,938-11,938,11,동민 맥스빌,전세,41.1,201502,16,20000,0,1,2004,선릉로62길 38
서울특별시 강남구 대치동,938,938,0,삼환 아르누보2,월세,26.42,201503,3,1000,90,6,2004,도곡로 405
서울특별시 강남구 대치동,890-59,890,59,선릉역 롯데골드로즈2,전세,44.46,201511,7,25000,0,19,2004,선릉로86길 31
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,32,201507,6,10000,0,4,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,43.53,201507,6,3000,110,17,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,32,201507,14,17000,0,8,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201507,23,11000,30,12,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201512,9,2500,52,2,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,월세,32,201512,18,11000,30,12,2003,테헤란로64길 8
서울특별시 강남구 대치동,889-53,889,53,선릉역 롯데골드로즈오피스텔,전세,33.81,201512,21,17000,0,14,2003,테헤란로64길 8
서울특별시 강남구 대치동,890-49,890,49,선릉역대우아이빌,전세,33.02,201509,15,19000,0,4,2004,테헤란로64길 9
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201506,2,1000,85,5,2004,테헤란로88길 10
서울특별시 강남구 대치동,943-24,943,24,신안메트로칸,월세,30.11,201506,8,9000,35,19,2004,테헤란로88길 10
서울특별시 강남구 대치동,891-6,891,6,테헤란로 대우 아이빌,전세,38.56,201501,22,22000,0,2,2004,테헤란로 428
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,전세,77.81,201504,13,45000,0,4,2006,강남대로 272
서울특별시 강남구 도곡동,949-2,949,2,도곡푸르지오 102동,전세,77.81,201504,27,44000,0,3,2006,강남대로 272
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,139.63,201501,10,2000,390,3,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201501,22,87000,0,13,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,168.65,201504,20,10000,400,9,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201504,24,90000,0,10,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201507,24,90000,0,12,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,167.79,201508,7,103000,0,18,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,163.05,201508,30,80000,85,6,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,139.63,201510,22,2000,350,7,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,167.79,201511,16,10000,400,8,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,163.05,201512,4,105000,0,4,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201512,4,80000,0,21,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,전세,139.63,201512,10,90000,0,3,2005,남부순환로 2763
서울특별시 강남구 도곡동,168,168,0,에스케이리더스뷰,월세,139.63,201512,24,5000,380,6,2005,남부순환로 2763
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201502,5,95000,0,18,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201503,6,105000,0,8,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,39.31,201505,6,91000,0,12,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,61.06,201505,8,3000,110,19,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201505,19,88000,0,13,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,42.53,201507,6,18000,0,9,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,35.2,201507,8,1000,65,9,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201507,22,15000,0,13,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,45.93,201508,1,85000,0,27,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,39.31,201508,12,15000,0,8,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,26.87,201508,26,1000,65,9,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201509,4,14500,0,8,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,26.87,201509,7,13000,0,13,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,42.53,201509,23,18500,0,6,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201510,2,15000,0,9,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,45.93,201510,10,22000,0,27,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,35.2,201510,15,3000,45,4,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,월세,42.53,201510,26,1000,75,4,1998,언주로 118
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201512,7,88000,0,25,1998,언주로 118
서울특별시 강남구 도곡동,467-18,467,18,우성캐릭터-빌,전세,33.43,201502,7,12000,0,8,1998,언주로 122
서울특별시 강남구 도곡동,467-18,467,18,우성캐릭터-빌,월세,33.43,201502,23,1000,50,3,1998,언주로 122
서울특별시 강남구 도곡동,467-18,467,18,우성캐릭터-빌,전세,30.5,201505,8,12000,0,5,1998,언주로 122
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,75.29,201501,6,60000,0,12,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,75.29,201501,31,35000,125,15,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,75.29,201502,27,60000,0,16,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201503,5,78000,0,11,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201503,7,70000,0,14,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,121.5,201503,12,5000,350,4,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,88.39,201503,25,60000,42,6,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201504,1,80000,0,10,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201504,7,40000,60,8,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,75.29,201504,13,10000,250,18,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201504,29,80000,0,6,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,64.55,201505,9,58000,0,14,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,110.01,201505,16,20000,300,19,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201506,3,89000,0,14,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,75.29,201506,6,30000,150,10,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,110.01,201506,10,103000,0,15,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,143.11,201506,11,110000,0,17,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201506,16,100000,0,8,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201506,20,3000,230,14,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,75.29,201507,24,42000,84,19,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201508,2,89000,0,14,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201508,6,89000,0,17,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,143.11,201508,24,70000,200,8,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,143.11,201508,25,110000,0,16,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201508,26,55000,20,13,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201509,2,3000,230,7,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201509,14,90000,0,17,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,143.11,201510,12,90000,90,9,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,121.5,201510,13,100000,0,12,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,88.39,201510,22,5000,340,15,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,91.1,201511,16,30000,240,16,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,91.1,201511,21,20000,280,13,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201512,11,83000,0,8,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,64.55,201512,12,58000,0,14,2002,언주로30길 56
