시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,29.25,201703,10,15000,0,2,2011,선릉로4길 19
서울특별시 강남구 개포동,157-9,157,9,	(157-9)	,전세,29.25,201711,8,15000,0,3,2011,선릉로4길 19
서울특별시 강남구 개포동,1246-3,1246,3,골든빌오피스텔(1246-3),월세,18.8,201706,10,100,70,6,2003,개포로 213
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,41.47,201703,21,18000,0,20,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,37.55,201704,1,9000,0,22,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201704,18,5000,35,7,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201704,18,5000,35,7,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201704,19,5000,35,17,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,전세,32.44,201705,18,14000,0,8,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201707,24,1000,65,5,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201708,4,15000,50,16,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,31.91,201710,10,1000,65,5,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201710,17,2000,60,15,1997,개포로 623
서울특별시 강남구 개포동,13-3,13,3,대청타워,월세,32.44,201711,29,1000,65,17,1997,개포로 623
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,22.6,201701,8,2000,40,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,24.67,201702,10,1500,50,2,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,25.72,201705,22,2000,50,2,2005,논현로18길 10-10
서울특별시 강남구 개포동,1236-4,1236,4,디오빌,월세,25.72,201712,27,2000,45,4,2005,논현로18길 10-10
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,59.64,201703,16,40000,0,4,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,56.86,201703,17,40000,0,7,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,59.64,201703,22,40000,0,3,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,월세,59.64,201704,3,15000,100,6,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,56.86,201704,5,39000,0,4,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,56.86,201704,8,39000,0,3,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,59.77,201704,12,40500,0,6,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,59.64,201706,5,42000,0,5,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,59.64,201706,8,42000,0,7,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,56.86,201706,9,38500,0,5,2017,논현로 72
서울특별시 강남구 개포동,1229-10,1229,10,하우징허브럭스,전세,56.86,201707,28,41000,0,6,2017,논현로 72
서울특별시 강남구 논현동,242-27,242,27,	(242-27)	,월세,18.88,201707,8,3000,60,7,2003,선릉로129길 3-4
서울특별시 강남구 논현동,96,96,0,	(96)	,월세,22.05,201701,18,2000,50,5,1987,도산대로46길 11
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,34.57,201702,2,26000,0,5,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,월세,34.57,201707,26,3000,100,10,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,월세,34.57,201709,23,2000,110,9,2005,학동로 342
서울특별시 강남구 논현동,241-3,241,3,강남구청역 에스케이 허브 블루,전세,34.57,201710,13,28000,0,8,2005,학동로 342
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,전세,58.28,201702,22,52000,0,16,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,58.28,201702,24,22000,100,7,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,전세,75.94,201704,20,57000,0,5,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,75.94,201705,17,10000,180,14,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,75.94,201710,13,5000,205,13,2007,학동로 338
서울특별시 강남구 논현동,241-1,241,1,강남파라곤,월세,75.94,201710,25,3000,210,9,2007,학동로 338
서울특별시 강남구 논현동,203-1,203,1,거평타운오피스텔,월세,22.55,201703,13,500,45,5,1991,봉은사로 129
서울특별시 강남구 논현동,203-1,203,1,거평타운오피스텔,월세,32.8,201707,13,500,65,8,1991,봉은사로 129
서울특별시 강남구 논현동,152-5,152,5,논현동대우아이빌 힐타운,월세,45.26,201701,16,10000,50,5,2003,논현로 641
