,old_div,lotnum_1,street
17333,문정동,652,법원로4길 6
23546,방이동,35,올림픽로 354
23579,방이동,43,오금로11길 
24592,문정동,624,법원로 55
33260,자곡동,662,자곡로 204-5
33267,자곡동,662,자곡로 204-5
33852,논현동,202,봉은사로 123
33853,논현동,242,선릉로129길 3-6
33886,대치동,945,테헤란로92길 13
34081,대치동,891,테헤란로 428
34082,도곡동,949,강남대로 272
34084,도곡동,949,강남대로 272
43006,삼성동,158,테헤란로83길 14
43620,역삼동,736,테헤란로20길 19
43631,역삼동,787,도곡로 225
43639,역삼동,735,논현로85길 
50362,서초동,1337,효령로77길 34
51161,서초동,1591,반포대로14길 29
51271,서초동,1303,서초대로77길 62
55411,양재동,275,마방로10길 15
68147,봉천동,880,쑥고개로21길 26
68463,봉천동,875,관악로17길 40
68465,봉천동,875,관악로17길 40
68469,봉천동,736,봉천로7길 33
74858,봉천동,948,봉천로 348
74908,봉천동,701,봉천로 223-7
75908,남현동,602,승방4길 21
75921,남현동,602,과천대로 933
75922,남현동,602,승방6길 6
84357,영등포동3가,17,영중로8길 15
84366,영등포동3가,1,영등포로 264
84374,영등포동3가,1,영등포로 264
85026,영등포동7가,29,국회대로54길 23
85057,영등포동7가,94,버드나루로11길 7
85331,영등포동8가,45,영중로 114-8
85332,영등포동8가,45,영중로 114-8
92098,당산동5가,9,당산로
93710,양평동2가,37,선유서로25길 19
94476,영등포동1가,76,경인로114가길 12
100415,도림동,265,도영로 16-1
101094,신길동,66,영등포로 391
101095,신길동,59,영등포로 353
101210,양평동2가,43,선유서로25길 34
104396,문래동6가,26,문래로 41
105232,여의도동,28,여의대로 8
114639,양평동3가,17,양산로7길 3
114999,영등포동7가,94,버드나루로12길 8
115001,영등포동7가,94,버드나루로12길 8
120228,독산동,959,남부순환로124길 15
120233,독산동,296,가산로 67
127901,구로동,44,공원로6가길 8
128534,구로동,651,구일로 130
128571,구로동,651,구일로 130
128724,구로동,651,구일로 130
137499,구로동,474,구로동로47길 24-44
137501,구로동,186,도림천로 446
142443,오류동,46,경인로20나길 36
143034,구로동,611,구로중앙로 207
143098,구로동,110,구로중앙로28길 73
145824,신도림동,432,경인로 638
145826,신도림동,337,경인로 661
151347,마곡동,776,양천로 344
155579,화곡동,1161,공항대로46길 28
155583,화곡동,1070,화곡로 120
155786,화곡동,998,화곡로 305
155792,화곡동,998,화곡로 305
159766,마곡동,760,마곡중앙5로 
160327,마곡동,760,마곡중앙로 161-1
160344,마곡동,784,강서로 
165995,화곡동,1111,화곡로 342
166011,화곡동,1111,화곡로 342
166013,화곡동,1111,화곡로 342
166596,가양동,1479,양천로57길 9-13
166635,공항동,45,공항대로 13
166642,공항동,72,공항대로2길 8
166796,등촌동,628,공항대로45길 95
166799,등촌동,656,공항대로45가길 11
174183,가양동,194,양천로49길 54
174185,가양동,275,양천로49길 39-7
174197,가양동,275,양천로49길 39-45
174201,가양동,1480,양천로 469-13
178340,마곡동,784,강서로 
178574,마곡동,793,강서로 
178576,마곡동,776,강서로 471
179054,마곡동,760,마곡중앙로 161-11
181480,등촌동,656,화곡로64길 28
182095,마곡동,776,양천로 344
188385,등촌동,683,강서로56가길 145
188395,등촌동,683,강서로56가길 145
191988,방화동,849,양천로 28
197840,신월동,235,월정로 101
198041,신정동,323,목동서로 377
207166,성산동,592,월드컵로34길 10
209810,상암동,1734,구룡길 19
215587,상암동,1748,월드컵북로 
223864,미근동,190,통일로 107-5
223868,북가좌동,343,증가로 259
223872,북아현동,1013,북아현로1가길 
224050,연희동,80,연희로 158
224058,연희동,340,성산로 371
232580,녹번동,35,통일로 633
232583,녹번동,176,은평로9길 24
232584,녹번동,176,응암로 347
246936,창동,338,노해로 341
246945,창동,296,해등로16길 26
264280,장안동,373,장한로 91
279993,성수동1가,13,광나루로 190
291155,숭인동,1388,난계로 251
